;IdColumnIndex=0
5000:0=5000,1=200217,2=20017,3=19,6=1065353216
5119:0=5119,1=200250,2=20050,3=19,6=1065353216
5120:0=5120,1=200250,2=20050,3=19,6=1065353216
5121:0=5121,1=200250,2=20050,3=19,6=1065353216
5122:0=5122,1=200250,2=20050,3=19,6=1065353216
5123:0=5123,1=200250,2=20050,3=19,6=1065353216
5124:0=5124,1=200250,2=20050,3=19,6=1065353216
5125:0=5125,1=200251,2=20051,3=19,6=1065353216
5126:0=5126,1=200251,2=20051,3=19,6=1065353216
5127:0=5127,1=200251,2=20051,3=19,6=1065353216
5128:0=5128,1=200251,2=20051,3=19,6=1065353216
5129:0=5129,1=200251,2=20051,3=19,6=1065353216
5130:0=5130,1=200251,2=20051,3=19,6=1065353216
5131:0=5131,1=200251,2=20051,3=19,6=1065353216
5132:0=5132,1=200251,2=20051,3=19,6=1065353216
5133:0=5133,1=200252,2=20052,3=19,6=1065353216
5134:0=5134,1=200252,2=20052,3=19,6=1065353216
5135:0=5135,1=200252,2=20052,3=19,6=1065353216
5136:0=5136,1=200252,2=20052,3=19,6=1065353216
5137:0=5137,1=200252,2=20052,3=19,6=1065353216
5138:0=5138,1=200252,2=20052,3=19,6=1065353216
5139:0=5139,1=200252,2=20052,3=19,6=1065353216
5140:0=5140,1=200252,2=20052,3=19,6=1065353216
5141:0=5141,1=200253,2=20053,3=19,6=1065353216
5142:0=5142,1=200253,2=20053,3=19,6=1065353216
5143:0=5143,1=200253,2=20053,3=19,6=1065353216
5144:0=5144,1=200253,2=20053,3=19,6=1065353216
5145:0=5145,1=200253,2=20053,3=19,6=1065353216
5146:0=5146,1=200253,2=20053,3=19,6=1065353216
5147:0=5147,1=200253,2=20053,3=19,6=1065353216
5148:0=5148,1=200253,2=20053,3=19,6=1065353216
5149:0=5149,1=200253,2=20053,3=19,6=1065353216
5150:0=5150,1=200254,2=20054,3=19,6=1065353216
5151:0=5151,1=200254,2=20054,3=19,6=1065353216
5152:0=5152,1=200254,2=20054,3=19,6=1065353216
5153:0=5153,1=200254,2=20054,3=19,6=1065353216
5154:0=5154,1=200254,2=20054,3=19,6=1065353216
5155:0=5155,1=200254,2=20054,3=19,6=1065353216
5156:0=5156,1=200254,2=20054,3=19,6=1065353216
5157:0=5157,1=200254,2=20054,3=19,6=1065353216
5158:0=5158,1=200254,2=20054,3=19,6=1065353216
5159:0=5159,1=200255,2=20055,3=19,6=1065353216
5160:0=5160,1=200255,2=20055,3=19,6=1065353216
5161:0=5161,1=200255,2=20055,3=19,6=1065353216
5162:0=5162,1=200255,2=20055,3=19,6=1065353216
5163:0=5163,1=200255,2=20055,3=19,6=1065353216
5164:0=5164,1=200255,2=20055,3=19,6=1065353216
5165:0=5165,1=200255,2=20055,3=19,6=1065353216
5166:0=5166,1=200255,2=20055,3=19,6=1065353216
5167:0=5167,1=200255,2=20055,3=19,6=1065353216
5168:0=5168,1=200255,2=20055,3=19,6=1065353216
5169:0=5169,1=200256,2=20056,3=19,6=1065353216
5170:0=5170,1=200256,2=20056,3=19,6=1065353216
5171:0=5171,1=200256,2=20056,3=19,6=1065353216
5172:0=5172,1=200256,2=20056,3=19,6=1065353216
5173:0=5173,1=200256,2=20056,3=19,6=1065353216
5174:0=5174,1=200256,2=20056,3=19,6=1065353216
5175:0=5175,1=200256,2=20056,3=19,6=1065353216
5176:0=5176,1=200256,2=20056,3=19,6=1065353216
5177:0=5177,1=200256,2=20056,3=19,6=1065353216
5178:0=5178,1=200256,2=20056,3=19,6=1065353216
5179:0=5179,1=200257,2=20057,3=19,6=1065353216
5180:0=5180,1=200257,2=20057,3=19,6=1065353216
5181:0=5181,1=200257,2=20057,3=19,6=1065353216
5182:0=5182,1=200257,2=20057,3=19,6=1065353216
5183:0=5183,1=200257,2=20057,3=19,6=1065353216
5184:0=5184,1=200257,2=20057,3=19,6=1065353216
5185:0=5185,1=200257,2=20057,3=19,6=1065353216
5186:0=5186,1=200257,2=20057,3=19,6=1065353216
5187:0=5187,1=200257,2=20057,3=19,6=1065353216
5188:0=5188,1=200257,2=20057,3=19,6=1065353216
5189:0=5189,1=200258,2=20058,3=19,6=1065353216
5190:0=5190,1=200258,2=20058,3=19,6=1065353216
5191:0=5191,1=200258,2=20058,3=19,6=1065353216
5192:0=5192,1=200258,2=20058,3=19,6=1065353216
5193:0=5193,1=200258,2=20058,3=19,6=1065353216
5194:0=5194,1=200258,2=20058,3=19,6=1065353216
5195:0=5195,1=200258,2=20058,3=19,6=1065353216
5196:0=5196,1=200258,2=20058,3=19,6=1065353216
5197:0=5197,1=200258,2=20058,3=19,6=1065353216
5198:0=5198,1=200258,2=20058,3=19,6=1065353216
5199:0=5199,1=200258,2=20058,3=19,6=1065353216
5200:0=5200,1=200259,2=20059,3=19,6=1065353216
5201:0=5201,1=200259,2=20059,3=19,6=1065353216
5202:0=5202,1=200259,2=20059,3=19,6=1065353216
5203:0=5203,1=200259,2=20059,3=19,6=1065353216
5204:0=5204,1=200259,2=20059,3=19,6=1065353216
5205:0=5205,1=200259,2=20059,3=19,6=1065353216
5206:0=5206,1=200259,2=20059,3=19,6=1065353216
5207:0=5207,1=200259,2=20059,3=19,6=1065353216
5208:0=5208,1=200259,2=20059,3=19,6=1065353216
5209:0=5209,1=200259,2=20059,3=19,6=1065353216
5210:0=5210,1=200259,2=20059,3=19,6=1065353216
5211:0=5211,1=200260,2=20060,3=19,6=1065353216
5212:0=5212,1=200260,2=20060,3=19,6=1065353216
5213:0=5213,1=200260,2=20060,3=19,6=1065353216
5214:0=5214,1=200260,2=20060,3=19,6=1065353216
5215:0=5215,1=200260,2=20060,3=19,6=1065353216
5216:0=5216,1=200260,2=20060,3=19,6=1065353216
5217:0=5217,1=200260,2=20060,3=19,6=1065353216
5218:0=5218,1=200260,2=20060,3=19,6=1065353216
5219:0=5219,1=200260,2=20060,3=19,6=1065353216
5220:0=5220,1=200260,2=20060,3=19,6=1065353216
5221:0=5221,1=200260,2=20060,3=19,6=1065353216
5222:0=5222,1=200261,2=20061,3=19,6=1065353216
5223:0=5223,1=200261,2=20061,3=19,6=1065353216
5224:0=5224,1=200261,2=20061,3=19,6=1065353216
5225:0=5225,1=200261,2=20061,3=19,6=1065353216
5226:0=5226,1=200261,2=20061,3=19,6=1065353216
5227:0=5227,1=200261,2=20061,3=19,6=1065353216
5228:0=5228,1=200261,2=20061,3=19,6=1065353216
5229:0=5229,1=200261,2=20061,3=19,6=1065353216
5230:0=5230,1=200261,2=20061,3=19,6=1065353216
5231:0=5231,1=200261,2=20061,3=19,6=1065353216
5232:0=5232,1=200261,2=20061,3=19,6=1065353216
5233:0=5233,1=200261,2=20061,3=19,6=1065353216
5234:0=5234,1=200262,2=20062,3=19,6=1065353216
5235:0=5235,1=200262,2=20062,3=19,6=1065353216
5236:0=5236,1=200262,2=20062,3=19,6=1065353216
5237:0=5237,1=200262,2=20062,3=19,6=1065353216
5238:0=5238,1=200262,2=20062,3=19,6=1065353216
5239:0=5239,1=200262,2=20062,3=19,6=1065353216
5240:0=5240,1=200262,2=20062,3=19,6=1065353216
5241:0=5241,1=200262,2=20062,3=19,6=1065353216
5242:0=5242,1=200262,2=20062,3=19,6=1065353216
5243:0=5243,1=200262,2=20062,3=19,6=1065353216
5244:0=5244,1=200262,2=20062,3=19,6=1065353216
5245:0=5245,1=200262,2=20062,3=19,6=1065353216
5246:0=5246,1=200263,2=20063,3=19,6=1065353216
5247:0=5247,1=200263,2=20063,3=19,6=1065353216
5248:0=5248,1=200263,2=20063,3=19,6=1065353216
5249:0=5249,1=200263,2=20063,3=19,6=1065353216
5250:0=5250,1=200263,2=20063,3=19,6=1065353216
5251:0=5251,1=200263,2=20063,3=19,6=1065353216
5252:0=5252,1=200263,2=20063,3=19,6=1065353216
5253:0=5253,1=200263,2=20063,3=19,6=1065353216
5254:0=5254,1=200263,2=20063,3=19,6=1065353216
5255:0=5255,1=200263,2=20063,3=19,6=1065353216
5256:0=5256,1=200263,2=20063,3=19,6=1065353216
5257:0=5257,1=200263,2=20063,3=19,6=1065353216
5258:0=5258,1=200263,2=20063,3=19,6=1065353216
5259:0=5259,1=200264,2=20064,3=19,6=1065353216
5260:0=5260,1=200264,2=20064,3=19,6=1065353216
5261:0=5261,1=200264,2=20064,3=19,6=1065353216
5262:0=5262,1=200264,2=20064,3=19,6=1065353216
5263:0=5263,1=200264,2=20064,3=19,6=1065353216
5264:0=5264,1=200264,2=20064,3=19,6=1065353216
5265:0=5265,1=200264,2=20064,3=19,6=1065353216
5266:0=5266,1=200264,2=20064,3=19,6=1065353216
5267:0=5267,1=200264,2=20064,3=19,6=1065353216
5268:0=5268,1=200264,2=20064,3=19,6=1065353216
5269:0=5269,1=200264,2=20064,3=19,6=1065353216
5270:0=5270,1=200264,2=20064,3=19,6=1065353216
5271:0=5271,1=200264,2=20064,3=19,6=1065353216
5272:0=5272,1=200265,2=20065,3=19,6=1065353216
5273:0=5273,1=200265,2=20065,3=19,6=1065353216
5274:0=5274,1=200265,2=20065,3=19,6=1065353216
5275:0=5275,1=200265,2=20065,3=19,6=1065353216
5276:0=5276,1=200265,2=20065,3=19,6=1065353216
5277:0=5277,1=200265,2=20065,3=19,6=1065353216
5278:0=5278,1=200265,2=20065,3=19,6=1065353216
5279:0=5279,1=200265,2=20065,3=19,6=1065353216
5280:0=5280,1=200265,2=20065,3=19,6=1065353216
5281:0=5281,1=200265,2=20065,3=19,6=1065353216
5282:0=5282,1=200265,2=20065,3=19,6=1065353216
5283:0=5283,1=200265,2=20065,3=19,6=1065353216
5284:0=5284,1=200265,2=20065,3=19,6=1065353216
5285:0=5285,1=200266,2=20066,3=19,6=1065353216
5286:0=5286,1=200266,2=20066,3=19,6=1065353216
5287:0=5287,1=200266,2=20066,3=19,6=1065353216
5288:0=5288,1=200266,2=20066,3=19,6=1065353216
5289:0=5289,1=200266,2=20066,3=19,6=1065353216
5290:0=5290,1=200266,2=20066,3=19,6=1065353216
5291:0=5291,1=200266,2=20066,3=19,6=1065353216
5292:0=5292,1=200266,2=20066,3=19,6=1065353216
5293:0=5293,1=200266,2=20066,3=19,6=1065353216
5294:0=5294,1=200266,2=20066,3=19,6=1065353216
5295:0=5295,1=200266,2=20066,3=19,6=1065353216
5296:0=5296,1=200266,2=20066,3=19,6=1065353216
5297:0=5297,1=200266,2=20066,3=19,6=1065353216
5298:0=5298,1=200266,2=20066,3=19,6=1065353216
5299:0=5299,1=200267,2=20067,3=19,6=1065353216
5300:0=5300,1=200267,2=20067,3=19,6=1065353216
5301:0=5301,1=200267,2=20067,3=19,6=1065353216
5302:0=5302,1=200267,2=20067,3=19,6=1065353216
5303:0=5303,1=200267,2=20067,3=19,6=1065353216
5304:0=5304,1=200267,2=20067,3=19,6=1065353216
5305:0=5305,1=200267,2=20067,3=19,6=1065353216
5306:0=5306,1=200267,2=20067,3=19,6=1065353216
5307:0=5307,1=200267,2=20067,3=19,6=1065353216
5308:0=5308,1=200267,2=20067,3=19,6=1065353216
5309:0=5309,1=200267,2=20067,3=19,6=1065353216
5310:0=5310,1=200267,2=20067,3=19,6=1065353216
5311:0=5311,1=200267,2=20067,3=19,6=1065353216
5312:0=5312,1=200267,2=20067,3=19,6=1065353216
5313:0=5313,1=200268,2=20068,3=19,6=1065353216
5314:0=5314,1=200268,2=20068,3=19,6=1065353216
5315:0=5315,1=200268,2=20068,3=19,6=1065353216
5316:0=5316,1=200268,2=20068,3=19,6=1065353216
5317:0=5317,1=200268,2=20068,3=19,6=1065353216
5318:0=5318,1=200268,2=20068,3=19,6=1065353216
5319:0=5319,1=200268,2=20068,3=19,6=1065353216
5320:0=5320,1=200268,2=20068,3=19,6=1065353216
5321:0=5321,1=200268,2=20068,3=19,6=1065353216
5322:0=5322,1=200268,2=20068,3=19,6=1065353216
5323:0=5323,1=200268,2=20068,3=19,6=1065353216
5324:0=5324,1=200268,2=20068,3=19,6=1065353216
5325:0=5325,1=200268,2=20068,3=19,6=1065353216
5326:0=5326,1=200268,2=20068,3=19,6=1065353216
5327:0=5327,1=200268,2=20068,3=19,6=1065353216
5328:0=5328,1=200269,2=20069,3=19,6=1065353216
5329:0=5329,1=200269,2=20069,3=19,6=1065353216
5330:0=5330,1=200269,2=20069,3=19,6=1065353216
5331:0=5331,1=200269,2=20069,3=19,6=1065353216
5332:0=5332,1=200269,2=20069,3=19,6=1065353216
5333:0=5333,1=200269,2=20069,3=19,6=1065353216
5334:0=5334,1=200269,2=20069,3=19,6=1065353216
5335:0=5335,1=200269,2=20069,3=19,6=1065353216
5336:0=5336,1=200269,2=20069,3=19,6=1065353216
5337:0=5337,1=200269,2=20069,3=19,6=1065353216
5338:0=5338,1=200269,2=20069,3=19,6=1065353216
5339:0=5339,1=200269,2=20069,3=19,6=1065353216
5340:0=5340,1=200269,2=20069,3=19,6=1065353216
5341:0=5341,1=200269,2=20069,3=19,6=1065353216
5342:0=5342,1=200269,2=20069,3=19,6=1065353216
5343:0=5343,1=200270,2=20070,3=19,6=1065353216
5344:0=5344,1=200270,2=20070,3=19,6=1065353216
5345:0=5345,1=200270,2=20070,3=19,6=1065353216
5346:0=5346,1=200270,2=20070,3=19,6=1065353216
5347:0=5347,1=200270,2=20070,3=19,6=1065353216
5348:0=5348,1=200270,2=20070,3=19,6=1065353216
5349:0=5349,1=200270,2=20070,3=19,6=1065353216
5350:0=5350,1=200270,2=20070,3=19,6=1065353216
5351:0=5351,1=200270,2=20070,3=19,6=1065353216
5352:0=5352,1=200270,2=20070,3=19,6=1065353216
5353:0=5353,1=200270,2=20070,3=19,6=1065353216
5354:0=5354,1=200270,2=20070,3=19,6=1065353216
5355:0=5355,1=200270,2=20070,3=19,6=1065353216
5356:0=5356,1=200270,2=20070,3=19,6=1065353216
5357:0=5357,1=200270,2=20070,3=19,6=1065353216
5358:0=5358,1=200270,2=20070,3=19,6=1065353216
5359:0=5359,1=200271,2=20071,3=19,6=1065353216
5360:0=5360,1=200271,2=20071,3=19,6=1065353216
5361:0=5361,1=200271,2=20071,3=19,6=1065353216
5362:0=5362,1=200271,2=20071,3=19,6=1065353216
5363:0=5363,1=200271,2=20071,3=19,6=1065353216
5364:0=5364,1=200271,2=20071,3=19,6=1065353216
5365:0=5365,1=200271,2=20071,3=19,6=1065353216
5366:0=5366,1=200271,2=20071,3=19,6=1065353216
5367:0=5367,1=200271,2=20071,3=19,6=1065353216
5368:0=5368,1=200271,2=20071,3=19,6=1065353216
5369:0=5369,1=200271,2=20071,3=19,6=1065353216
5370:0=5370,1=200271,2=20071,3=19,6=1065353216
5371:0=5371,1=200271,2=20071,3=19,6=1065353216
5372:0=5372,1=200271,2=20071,3=19,6=1065353216
5373:0=5373,1=200271,2=20071,3=19,6=1065353216
5374:0=5374,1=200271,2=20071,3=19,6=1065353216
5375:0=5375,1=200272,2=20072,3=19,6=1065353216
5376:0=5376,1=200272,2=20072,3=19,6=1065353216
5377:0=5377,1=200272,2=20072,3=19,6=1065353216
5378:0=5378,1=200272,2=20072,3=19,6=1065353216
5379:0=5379,1=200272,2=20072,3=19,6=1065353216
5380:0=5380,1=200272,2=20072,3=19,6=1065353216
5381:0=5381,1=200272,2=20072,3=19,6=1065353216
5382:0=5382,1=200272,2=20072,3=19,6=1065353216
5383:0=5383,1=200272,2=20072,3=19,6=1065353216
5384:0=5384,1=200272,2=20072,3=19,6=1065353216
5385:0=5385,1=200272,2=20072,3=19,6=1065353216
5386:0=5386,1=200272,2=20072,3=19,6=1065353216
5387:0=5387,1=200272,2=20072,3=19,6=1065353216
5388:0=5388,1=200272,2=20072,3=19,6=1065353216
5389:0=5389,1=200272,2=20072,3=19,6=1065353216
5390:0=5390,1=200272,2=20072,3=19,6=1065353216
5391:0=5391,1=200272,2=20072,3=19,6=1065353216
5392:0=5392,1=200273,2=20073,3=19,6=1065353216
5393:0=5393,1=200273,2=20073,3=19,6=1065353216
5394:0=5394,1=200273,2=20073,3=19,6=1065353216
5395:0=5395,1=200273,2=20073,3=19,6=1065353216
5396:0=5396,1=200273,2=20073,3=19,6=1065353216
5397:0=5397,1=200273,2=20073,3=19,6=1065353216
5398:0=5398,1=200273,2=20073,3=19,6=1065353216
5399:0=5399,1=200273,2=20073,3=19,6=1065353216
5400:0=5400,1=200273,2=20073,3=19,6=1065353216
5401:0=5401,1=200273,2=20073,3=19,6=1065353216
5402:0=5402,1=200273,2=20073,3=19,6=1065353216
5403:0=5403,1=200273,2=20073,3=19,6=1065353216
5404:0=5404,1=200273,2=20073,3=19,6=1065353216
5405:0=5405,1=200273,2=20073,3=19,6=1065353216
5406:0=5406,1=200273,2=20073,3=19,6=1065353216
5407:0=5407,1=200273,2=20073,3=19,6=1065353216
5408:0=5408,1=200273,2=20073,3=19,6=1065353216
5409:0=5409,1=200274,2=20074,3=19,6=1065353216
5410:0=5410,1=200274,2=20074,3=19,6=1065353216
5411:0=5411,1=200274,2=20074,3=19,6=1065353216
5412:0=5412,1=200274,2=20074,3=19,6=1065353216
5413:0=5413,1=200274,2=20074,3=19,6=1065353216
5414:0=5414,1=200274,2=20074,3=19,6=1065353216
5415:0=5415,1=200274,2=20074,3=19,6=1065353216
5416:0=5416,1=200274,2=20074,3=19,6=1065353216
5417:0=5417,1=200274,2=20074,3=19,6=1065353216
5418:0=5418,1=200274,2=20074,3=19,6=1065353216
5419:0=5419,1=200274,2=20074,3=19,6=1065353216
5420:0=5420,1=200274,2=20074,3=19,6=1065353216
5421:0=5421,1=200274,2=20074,3=19,6=1065353216
5422:0=5422,1=200274,2=20074,3=19,6=1065353216
5423:0=5423,1=200274,2=20074,3=19,6=1065353216
5424:0=5424,1=200274,2=20074,3=19,6=1065353216
5425:0=5425,1=200274,2=20074,3=19,6=1065353216
5426:0=5426,1=200275,2=20075,3=19,6=1065353216
5427:0=5427,1=200275,2=20075,3=19,6=1065353216
5428:0=5428,1=200275,2=20075,3=19,6=1065353216
5429:0=5429,1=200275,2=20075,3=19,6=1065353216
5430:0=5430,1=200275,2=20075,3=19,6=1065353216
5431:0=5431,1=200275,2=20075,3=19,6=1065353216
5432:0=5432,1=200275,2=20075,3=19,6=1065353216
5433:0=5433,1=200275,2=20075,3=19,6=1065353216
5434:0=5434,1=200275,2=20075,3=19,6=1065353216
5435:0=5435,1=200275,2=20075,3=19,6=1065353216
5436:0=5436,1=200275,2=20075,3=19,6=1065353216
5437:0=5437,1=200275,2=20075,3=19,6=1065353216
5438:0=5438,1=200275,2=20075,3=19,6=1065353216
5439:0=5439,1=200275,2=20075,3=19,6=1065353216
5440:0=5440,1=200275,2=20075,3=19,6=1065353216
5441:0=5441,1=200275,2=20075,3=19,6=1065353216
5442:0=5442,1=200275,2=20075,3=19,6=1065353216
5443:0=5443,1=200275,2=20075,3=19,6=1065353216
5444:0=5444,1=200276,2=20076,3=19,6=1065353216
5445:0=5445,1=200276,2=20076,3=19,6=1065353216
5446:0=5446,1=200276,2=20076,3=19,6=1065353216
5447:0=5447,1=200276,2=20076,3=19,6=1065353216
5448:0=5448,1=200276,2=20076,3=19,6=1065353216
5449:0=5449,1=200276,2=20076,3=19,6=1065353216
5450:0=5450,1=200276,2=20076,3=19,6=1065353216
5451:0=5451,1=200276,2=20076,3=19,6=1065353216
5452:0=5452,1=200276,2=20076,3=19,6=1065353216
5453:0=5453,1=200276,2=20076,3=19,6=1065353216
5454:0=5454,1=200276,2=20076,3=19,6=1065353216
5455:0=5455,1=200276,2=20076,3=19,6=1065353216
5456:0=5456,1=200276,2=20076,3=19,6=1065353216
5457:0=5457,1=200276,2=20076,3=19,6=1065353216
5458:0=5458,1=200276,2=20076,3=19,6=1065353216
5459:0=5459,1=200276,2=20076,3=19,6=1065353216
5460:0=5460,1=200276,2=20076,3=19,6=1065353216
5461:0=5461,1=200276,2=20076,3=19,6=1065353216
5462:0=5462,1=200277,2=20077,3=19,6=1065353216
5463:0=5463,1=200277,2=20077,3=19,6=1065353216
5464:0=5464,1=200277,2=20077,3=19,6=1065353216
5465:0=5465,1=200277,2=20077,3=19,6=1065353216
5466:0=5466,1=200277,2=20077,3=19,6=1065353216
5467:0=5467,1=200277,2=20077,3=19,6=1065353216
5468:0=5468,1=200277,2=20077,3=19,6=1065353216
5469:0=5469,1=200277,2=20077,3=19,6=1065353216
5470:0=5470,1=200277,2=20077,3=19,6=1065353216
5471:0=5471,1=200277,2=20077,3=19,6=1065353216
5472:0=5472,1=200277,2=20077,3=19,6=1065353216
5473:0=5473,1=200277,2=20077,3=19,6=1065353216
5474:0=5474,1=200277,2=20077,3=19,6=1065353216
5475:0=5475,1=200277,2=20077,3=19,6=1065353216
5476:0=5476,1=200277,2=20077,3=19,6=1065353216
5477:0=5477,1=200277,2=20077,3=19,6=1065353216
5478:0=5478,1=200277,2=20077,3=19,6=1065353216
5479:0=5479,1=200277,2=20077,3=19,6=1065353216
